alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,21.85,110.74,22.68,4.88,14.90,3.34,1.86,25.64,0x0,0x2,0,0,304.77,19.62,46.55,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.76,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.6668,3.6627,3.6463,3.6509,3.6269,3.6348,3.6607,3.6311,3.6502,3.6595,3.6584,3.6750,3.5906,3.6545,3.6521,3.6521,3.5841,3.6587,3.6769,3.6951,3.6328,3.6390,3.6846,3.6466,3.6514,3.6606,3.6303,3.6076,3.6347,3.6689,3.6791,
Yes,21.85,110.74,22.68,4.88,14.90,3.34,1.86,25.64,0x0,0x2,0,0,304.77,19.62,46.55,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.76,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.6668,3.6627,3.6463,3.6509,3.6269,3.6348,3.6607,3.6311,3.6502,3.6595,3.6584,3.6750,3.5906,3.6545,3.6521,3.6521,3.5841,3.6587,3.6769,3.6951,3.6328,3.6390,3.6846,3.6466,3.6514,3.6606,3.6303,3.6076,3.6347,3.6689,3.6791,
Yes,21.85,110.74,22.68,4.88,14.90,3.34,1.86,25.64,0x0,0x2,0,0,304.77,19.62,46.55,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.76,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.6668,3.6627,3.6463,3.6509,3.6269,3.6348,3.6607,3.6311,3.6502,3.6595,3.6584,3.6750,3.5906,3.6545,3.6521,3.6521,3.5841,3.6587,3.6769,3.6951,3.6328,3.6390,3.6846,3.6466,3.6514,3.6606,3.6303,3.6076,3.6347,3.6689,3.6791,
Yes,21.85,110.74,22.68,4.88,14.90,3.34,1.86,25.64,0x0,0x2,0,0,304.77,19.62,46.55,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.76,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.6668,3.6627,3.6463,3.6509,3.6269,3.6348,3.6607,3.6311,3.6502,3.6595,3.6584,3.6750,3.5906,3.6545,3.6521,3.6521,3.5841,3.6587,3.6769,3.6951,3.6328,3.6390,3.6846,3.6466,3.6514,3.6606,3.6303,3.6076,3.6347,3.6689,3.6791,
Yes,21.85,110.74,22.68,4.88,14.90,3.34,1.86,25.64,0x0,0x2,0,0,304.77,19.62,46.55,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.76,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.6668,3.6627,3.6463,3.6509,3.6269,3.6348,3.6607,3.6311,3.6502,3.6595,3.6584,3.6750,3.5906,3.6545,3.6521,3.6521,3.5841,3.6587,3.6769,3.6951,3.6328,3.6390,3.6846,3.6466,3.6514,3.6606,3.6303,3.6076,3.6347,3.6689,3.6791,
Yes,21.85,110.74,22.68,4.88,14.90,3.34,1.86,25.64,0x0,0x2,0,0,304.77,19.62,46.55,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.76,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.6668,3.6627,3.6463,3.6509,3.6269,3.6348,3.6607,3.6311,3.6502,3.6595,3.6584,3.6750,3.5906,3.6545,3.6521,3.6521,3.5841,3.6587,3.6769,3.6951,3.6328,3.6390,3.6846,3.6466,3.6514,3.6606,3.6303,3.6076,3.6347,3.6689,3.6791,
Yes,21.16,111.07,22.70,4.88,14.90,3.34,1.86,25.65,0x0,0x2,0,0,328.60,21.16,44.56,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.67,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.6586,3.6466,3.6424,3.6651,3.6494,3.6587,3.6520,3.6135,3.6463,3.6727,3.6809,3.6668,3.5673,3.6509,3.6660,3.6718,3.6169,3.6495,3.6620,3.6910,3.6485,3.6589,3.6769,3.6293,3.6478,3.6738,3.6528,3.6350,3.6247,3.6532,3.6760,
Yes,19.88,111.62,22.71,4.88,14.90,3.34,1.86,25.66,0x0,0x2,0,0,348.65,22.45,40.70,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.64,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.6833,3.6772,3.6753,3.6865,3.6603,3.6618,3.6775,3.6497,3.6785,3.6930,3.6921,3.6907,3.6149,3.6821,3.6868,3.6817,3.6213,3.6763,3.6920,3.7223,3.6714,3.6692,3.6996,3.6645,3.6798,3.6941,3.6638,3.6383,3.6539,3.6849,3.7040,
Yes,0.00,120.39,22.72,4.88,14.93,3.34,1.86,25.64,0x0,0x0,0,0,348.55,22.44,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8782,3.8793,3.8801,3.8812,3.8793,3.8793,3.8770,3.8726,3.8784,3.8791,3.9129,3.8786,3.9038,3.8776,3.8771,3.8761,3.9159,3.8871,3.8774,3.9177,3.8812,3.8648,3.8799,3.8804,3.8805,3.8805,3.8813,3.8815,3.8800,3.8790,3.8797,
Yes,0.00,120.44,22.74,4.88,14.93,3.34,1.86,25.64,0x0,0x0,0,0,346.50,22.31,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8797,3.8809,3.8817,3.8828,3.8808,3.8808,3.8784,3.8742,3.8801,3.8807,3.9148,3.8803,3.9055,3.8792,3.8787,3.8776,3.9178,3.8889,3.8791,3.9195,3.8827,3.8664,3.8815,3.8821,3.8821,3.8820,3.8829,3.8830,3.8817,3.8806,3.8812,
Yes,0.00,120.47,22.77,4.88,14.92,3.34,1.86,25.66,0x0,0x0,0,0,342.65,22.06,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8807,3.8817,3.8826,3.8838,3.8817,3.8818,3.8796,3.8754,3.8811,3.8818,3.9160,3.8811,3.9065,3.8802,3.8796,3.8787,3.9190,3.8899,3.8800,3.9206,3.8837,3.8673,3.8824,3.8831,3.8831,3.8830,3.8840,3.8841,3.8826,3.8816,3.8822,
Yes,0.00,120.48,22.78,4.88,14.92,3.34,1.86,25.66,0x0,0x0,0,0,336.11,21.64,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8814,3.8824,3.8833,3.8844,3.8825,3.8824,3.8801,3.8759,3.8818,3.8824,3.9167,3.8817,3.9072,3.8809,3.8803,3.8793,3.9197,3.8908,3.8807,3.9214,3.8844,3.8679,3.8831,3.8838,3.8837,3.8837,3.8845,3.8846,3.8833,3.8822,3.8829,
Yes,10.88,115.71,22.79,4.88,14.90,3.34,1.86,25.64,0x0,0x2,0,0,334.83,21.56,24.53,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.43,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7855,3.7809,3.7796,3.7887,3.7802,3.7832,3.7820,3.7632,3.7802,3.7908,3.8136,3.7894,3.7614,3.7819,3.7870,3.7883,3.7855,3.7870,3.7874,3.8226,3.7813,3.7765,3.7944,3.7748,3.7819,3.7920,3.7830,3.7736,3.7719,3.7844,3.7938,
Yes,0.02,120.46,22.79,4.88,14.92,3.34,1.86,25.67,0x0,0x0,0,0,331.94,21.37,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8807,3.8818,3.8827,3.8838,3.8818,3.8818,3.8795,3.8752,3.8811,3.8818,3.9161,3.8812,3.9066,3.8802,3.8796,3.8787,3.9189,3.8900,3.8800,3.9206,3.8836,3.8674,3.8825,3.8832,3.8831,3.8831,3.8839,3.8840,3.8827,3.8815,3.8822,
Yes,0.00,120.49,22.79,4.88,14.93,3.34,1.86,25.66,0x0,0x0,0,0,322.96,20.79,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8818,3.8829,3.8838,3.8849,3.8830,3.8829,3.8805,3.8763,3.8819,3.8826,3.9172,3.8823,3.9077,3.8812,3.8808,3.8797,3.9203,3.8912,3.8811,3.9221,3.8849,3.8684,3.8836,3.8842,3.8842,3.8843,3.8851,3.8851,3.8838,3.8826,3.8834,
Yes,0.00,120.53,22.79,4.88,14.93,3.34,1.86,25.65,0x0,0x0,0,0,312.62,20.13,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8825,3.8833,3.8843,3.8855,3.8834,3.8835,3.8812,3.8770,3.8827,3.8835,3.9180,3.8829,3.9085,3.8819,3.8813,3.8804,3.9209,3.8920,3.8817,3.9225,3.8854,3.8690,3.8840,3.8848,3.8848,3.8848,3.8857,3.8857,3.8843,3.8833,3.8837,
Yes,0.00,120.53,22.79,4.88,14.93,3.34,1.86,25.65,0x0,0x0,0,0,312.62,20.13,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8825,3.8833,3.8843,3.8855,3.8834,3.8835,3.8812,3.8770,3.8827,3.8835,3.9180,3.8829,3.9085,3.8819,3.8813,3.8804,3.9209,3.8920,3.8817,3.9225,3.8854,3.8690,3.8840,3.8848,3.8848,3.8848,3.8857,3.8857,3.8843,3.8833,3.8837,
Yes,16.27,113.33,22.80,4.88,14.90,3.34,1.86,25.65,0x0,0x2,0,0,310.16,19.97,37.05,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.59,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7274,3.7141,3.7113,3.7207,3.7023,3.7073,3.7224,3.6906,3.7137,3.7262,3.7353,3.7333,3.6671,3.7167,3.7203,3.7190,3.6828,3.7243,3.7272,3.7578,3.7080,3.7071,3.7408,3.7043,3.7152,3.7272,3.7055,3.6886,3.7044,3.7211,3.7355,
Yes,17.09,112.92,22.79,4.88,14.90,3.34,1.86,25.65,0x0,0x2,0,0,322.75,20.78,36.42,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.59,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7019,3.6912,3.6871,3.7030,3.6906,3.6994,3.6962,3.6636,3.6902,3.7092,3.7232,3.7086,3.6324,3.6935,3.7032,3.7083,3.6728,3.6967,3.7044,3.7343,3.6891,3.6961,3.7172,3.6783,3.6915,3.7104,3.6937,3.6804,3.6751,3.6976,3.7145,
Yes,17.11,112.81,22.79,4.88,14.90,3.34,1.86,25.66,0x0,0x2,0,0,332.76,21.42,36.84,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.58,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7147,3.7035,3.6990,3.7075,3.6906,3.6961,3.7097,3.6792,3.7021,3.7137,3.7229,3.7211,3.6538,3.7052,3.7075,3.7083,3.6682,3.7106,3.7175,3.7459,3.6943,3.6962,3.7288,3.6938,3.7036,3.7149,3.6938,3.6765,3.6902,3.7114,3.7246,
Yes,16.61,113.05,22.79,4.88,14.90,3.34,1.86,25.66,0x0,0x2,0,0,341.33,21.98,34.27,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.52,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7051,3.7005,3.7011,3.7153,3.6990,3.7051,3.6997,3.6741,3.7038,3.7209,3.7314,3.7118,3.6470,3.7072,3.7150,3.7157,3.6808,3.7002,3.7127,3.7477,3.7028,3.7037,3.7201,3.6886,3.7054,3.7220,3.7023,3.6868,3.6792,3.7064,3.7263,
Yes,13.30,114.52,22.79,4.88,14.90,3.34,1.86,25.67,0x0,0x2,0,0,349.10,22.48,27.45,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.44,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7441,3.7408,3.7394,3.7511,3.7394,3.7462,3.7397,3.7190,3.7410,3.7547,3.7718,3.7494,3.7057,3.7434,3.7499,3.7513,3.7364,3.7421,3.7501,3.7840,3.7412,3.7395,3.7559,3.7321,3.7428,3.7559,3.7423,3.7328,3.7247,3.7456,3.7590,
Yes,11.91,115.11,22.80,4.88,14.90,3.34,1.86,25.67,0x0,0x2,0,0,358.11,23.06,24.30,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.36,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7506,3.7465,3.7476,3.7580,3.7475,3.7536,3.7464,3.7259,3.7491,3.7615,3.7801,3.7556,3.7147,3.7513,3.7567,3.7585,3.7468,3.7492,3.7560,3.7919,3.7489,3.7467,3.7619,3.7387,3.7508,3.7629,3.7504,3.7412,3.7321,3.7515,3.7660,
Yes,11.91,115.11,22.80,4.88,14.90,3.34,1.86,25.67,0x0,0x2,0,0,358.11,23.06,24.30,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.36,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7506,3.7465,3.7476,3.7580,3.7475,3.7536,3.7464,3.7259,3.7491,3.7615,3.7801,3.7556,3.7147,3.7513,3.7567,3.7585,3.7468,3.7492,3.7560,3.7919,3.7489,3.7467,3.7619,3.7387,3.7508,3.7629,3.7504,3.7412,3.7321,3.7515,3.7660,
Yes,11.91,115.11,22.80,4.88,14.90,3.34,1.86,25.67,0x0,0x2,0,0,358.11,23.06,24.30,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.36,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7506,3.7465,3.7476,3.7580,3.7475,3.7536,3.7464,3.7259,3.7491,3.7615,3.7801,3.7556,3.7147,3.7513,3.7567,3.7585,3.7468,3.7492,3.7560,3.7919,3.7489,3.7467,3.7619,3.7387,3.7508,3.7629,3.7504,3.7412,3.7321,3.7515,3.7660,
Yes,11.91,115.11,22.80,4.88,14.90,3.34,1.86,25.67,0x0,0x2,0,0,358.11,23.06,24.30,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.36,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7506,3.7465,3.7476,3.7580,3.7475,3.7536,3.7464,3.7259,3.7491,3.7615,3.7801,3.7556,3.7147,3.7513,3.7567,3.7585,3.7468,3.7492,3.7560,3.7919,3.7489,3.7467,3.7619,3.7387,3.7508,3.7629,3.7504,3.7412,3.7321,3.7515,3.7660,
Yes,11.91,115.11,22.80,4.88,14.90,3.34,1.86,25.67,0x0,0x2,0,0,358.11,23.06,24.30,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.36,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7506,3.7465,3.7476,3.7580,3.7475,3.7536,3.7464,3.7259,3.7491,3.7615,3.7801,3.7556,3.7147,3.7513,3.7567,3.7585,3.7468,3.7492,3.7560,3.7919,3.7489,3.7467,3.7619,3.7387,3.7508,3.7629,3.7504,3.7412,3.7321,3.7515,3.7660,
Yes,11.91,115.11,22.80,4.88,14.90,3.34,1.86,25.67,0x0,0x2,0,0,358.11,23.06,24.30,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.36,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7506,3.7465,3.7476,3.7580,3.7475,3.7536,3.7464,3.7259,3.7491,3.7615,3.7801,3.7556,3.7147,3.7513,3.7567,3.7585,3.7468,3.7492,3.7560,3.7919,3.7489,3.7467,3.7619,3.7387,3.7508,3.7629,3.7504,3.7412,3.7321,3.7515,3.7660,
Yes,11.91,115.11,22.80,4.88,14.90,3.34,1.86,25.67,0x0,0x2,0,0,358.11,23.06,24.30,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.36,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.7506,3.7465,3.7476,3.7580,3.7475,3.7536,3.7464,3.7259,3.7491,3.7615,3.7801,3.7556,3.7147,3.7513,3.7567,3.7585,3.7468,3.7492,3.7560,3.7919,3.7489,3.7467,3.7619,3.7387,3.7508,3.7629,3.7504,3.7412,3.7321,3.7515,3.7660,
